SL,Data set,Encode Time,Encode Memory,,Decode Time(ms),Decode Memory(Mb)
1,"Aimee Meyer
203015179
BA in English
CGPA:2.95
Grade:B-",274.1260529,130.251848,,5780.869246,17.049976
2,"Amelie Miller
321002760
BSc in Textile
CGPA:2.82
Grade:B-",201.2283802,128.710676,,6138.710022,16.571696
3,"Jamiya Hunt
223015630
BSc in CSE
CGPA:2.95
Grade:B-",180.2740097,128.704709,,5916.098118,16.570598
4,"Maribel Ellis
222002421
BBA
CGPA:3.21
Grade:B",187.4871254,128.701971,,5339.547157,16.57058
5,"Maryjane Rogers
322002891
BSc in EEE
CGPA:3.77
Grade:A",147.4952698,128.701948,,5485.093355,16.570252
6,"Thomas Gonzalez
203015155
BSc in Textile
CGPA:3.85
Grade:A",143.6448097,128.702464,,5350.697756,16.569364
7,"Adolph Hoffman
323002937
BSc in EEE
CGPA:3.17
Grade:B",154.7958851,128.703411,,5609.313011,16.569244
8,"Campbell Perry
211015248
BSc in CSE
CGPA:3.74
Grade:A-",149.7805119,128.702801,,6244.0238,16.569684
9,"Mayra Peterson
223015684
BSc in CSE
CGPA:2.68
Grade:C+",145.9920406,128.70344,,5981.077671,16.56952
10,"Harris Chapman
223002550
BA in English
CGPA:2.92
Grade:B-",148.1544971,128.702805,,5759.976625,16.569337
11,"Kiera Caningham
223015667
BA in English
CGPA:3.61
Grade:A-",151.1547565,128.702756,,5406.787634,16.569635
12,"Brynlee Payne
211015253
BSc in EEE
CGPA:2.55
Grade:C+",154.0951729,128.702775,,6189.342976,16.570762
13,"Ford Ross
223015673
BSc in EEE
CGPA:3.35
Grade:B+",152.1189213,128.703397,,5883.236408,16.56984
14,"Clifford Grant
203002076
BBA
CGPA:3.98
Grade:A",163.0001068,128.702802,,6239.12406,16.569609
15,"Florence Lewis
223002595
BSc in CSE
CGPA:3.17
Grade:B",141.051054,128.703863,,6430.081367,16.570848
16,"Sylvester Black
321002747
BBA
CGPA:2.77
Grade:B-",155.8759212,128.70346,,5586.346149,16.569286
17,"Mike Parker
323002908
BSc in EEE
CGPA:3.58
Grade:A-",142.9569721,128.702951,,5688.190222,16.569457
18,"Randolph Webb
222002469
BSc in CSE
CGPA:2.97
Grade:B-",153.9189816,128.703194,,6584.708214,16.569585
19,"Charlie Snyder
211015251
BA in English
CGPA:2.7
Grade:C+",140.3446198,128.703202,,5575.487852,16.571349
20,"Jess Harvey
211015297
BSc in EEE
CGPA:2.51
Grade:C+",139.9068832,128.702788,,6027.159214,16.570031
21,"Aubrey Griffin
211015277
BBA
CGPA:2.92
Grade:B-",153.8751125,128.70491,,6382.72357,16.569521
22,"Maurice Gibson
323002954
BBA
CGPA:3.48
Grade:B+",150.4721642,128.702755,,6565.758944,16.569927
23,"Makena James
222002422
BSc in CSE
CGPA:2.95
Grade:B-",147.0584869,128.702923,,6172.021627,16.570888
24,"Sylvester Robinson
322002861
BSc in Textile
CGPA:2.74
Grade:C+",150.6285667,121.392945,,6318.741798,16.569648
25,"Michael Torres
321002785
BA in English
CGPA:2.83
Grade:B-",162.5115871,128.703284,,6191.4711,16.569545
26,"Nyasia Dunn
223002531
BA in English
CGPA:3.84
Grade:A",157.6755047,128.701977,,6440.531969,16.569271
27,"Janiah Wilson
321002704
BSc in Textile
CGPA:3.92
Grade:A",141.0970688,128.702986,,5644.750595,16.569417
28,"Foster Kelley
211015238
BSc in EEE
CGPA:3.33
Grade:B+",158.2164764,128.701805,,5624.854803,16.569737
29,"Jeff Hughes
222002419
BSc in CSE
CGPA:3.28
Grade:B+",159.001112,128.702463,,5720.187426,16.569576
30,"Nicholas Perry
203015160
BA in English
CGPA:3.11
Grade:B",150.3751278,128.70294,,5737.784147,16.569519
31,"Chasity Clark
211015286
BSc in CSE
CGPA:2.74
Grade:C+",147.279501,128.702617,,5835.781574,16.569489
32,"Newton Wood
321002735
BBA
CGPA:3.79
Grade:A",144.2270279,128.702435,,5912.464857,16.570009
33,"Amelie Hamilton
223015662
BSc in EEE
CGPA:3.59
Grade:A-",145.8249092,128.702802,,5986.391544,16.569872
34,"Herbert Rose
223002505
BSc in CSE
CGPA:2.79
Grade:B-",149.394989,128.702616,,5785.380602,16.570441
35,"Amos Dixon
223015692
BBA
CGPA:3.25
Grade:B+",157.9625607,128.702607,,5974.213839,16.56947
36,"Mack Franklin
203015169
BBA
CGPA:3.15
Grade:B",152.8673172,128.702437,,6323.626518,16.569529
37,"Levi Hayes
211002332
BBA
CGPA:3.52
Grade:A-",142.2994137,128.703423,,5708.053112,16.567423
38,"Taniya Garza
222002452
BSc in Textile
CGPA:2.71
Grade:C+",151.9854069,128.70262,,5829.590082,16.569393
39,"Bryant Snyder
222002402
BBA
CGPA:2.81
Grade:B-",143.2125568,128.703616,,5936.491966,16.569449
40,"Tom Marshall
211015207
BSc in CSE
CGPA:3.01
Grade:B",141.2572861,128.702498,,5962.011337,16.569668
41,"Philip Meyer
223002549
BA in English
CGPA:3.6
Grade:A-",152.0905495,128.703154,,6598.177195,16.569353
42,"Isabell Gonzlez
223015644
BA in English
CGPA:2.85
Grade:B-",162.4896526,128.702622,,5857.741833,16.570088
43,"Carl Duncan
223015614
BA in English
CGPA:3.15
Grade:B",142.2600746,128.703799,,6305.573702,16.569733
44,"Will Wallace
323002990
BSc in Textile
CGPA:3.01
Grade:B",142.3070431,128.702447,,6273.212671,16.569449
45,"Izabelle Boyd
323002907
BA in English
CGPA:3.97
Grade:A",152.3575783,128.702859,,6196.353912,16.569329
46,"August Jack
203015125
BA in English
CGPA:2.84
Grade:B-",142.9991722,128.702858,,5830.775499,16.569401
47,"Harlan Ramirez
203002040
BA in English
CGPA:3.29
Grade:B+",146.1186409,128.702689,,5847.306252,16.569329
48,"Harvey Hughes
323002966
BSc in EEE
CGPA:3.32
Grade:B+",142.827034,121.392904,,5839.372635,16.569271
49,"Anton Rivera
323002972
BA in English
CGPA:3.8
Grade:A",166.1088467,128.701977,,5856.759548,16.569337
50,"Virgil Morgan
223002565
BSc in EEE
CGPA:3.5
Grade:A-",149.0211487,128.701976,,6574.073315,16.569393
51,"Krista Wood
223015658
BBA
CGPA:3.51
Grade:A-",146.5358734,128.702974,,6342.049122,16.569457
52,"Janiah Gray
322002857
BA in English
CGPA:2.93
Grade:B-",147.1674442,128.701806,,5913.198233,16.569776
